question,answer
"已知 $a,b \in \mathbb{R}$, 函数 $f(x)=\begin{cases}x, & x<0 \\ \frac{1}{3}x^3-\frac{1}{2}(a+1)x^2+ax, & x \geqslant 0\end{cases}$, 若函数 $y=f(x)-ax-b$ 恰有 $3$ 个零点, 则","$a>-1, b<0$"
"函数 $f(x)=\cos\left(3x+\frac{\pi}{6}\right)$ 在 $[0,\pi]$ 的零点个数为",3
"若函数 $f(x)=2x^3-ax^2+1(a \in R)$ 在 $(0,+\infty)$ 内有且只有一个零点,则 $f(x)$ 在 $[-1,1]$ 上的最大值与最小值的和为",$-3$
"已知 $\lambda \in \mathbb{R}$, 函数 $f(x)=\begin{cases} x-4, & x \geqslant \lambda \\ x^2-4x+3, & x < \lambda \end{cases}$, 当 $\lambda=2$ 时, 不等式 $f(x)<0$ 的解集是 . 若函数 $f(x)$ 恰有 2 个零点, 则 $\lambda$ 的取值范围是 .","$(1,4); (1,3] \cup (4,+\infty)$"
"已知函数 $f(x)=\begin{cases}e^x, & x \leqslant 0 \\ \ln x, & x>0\end{cases}, g(x)=f(x)+x+a$. 若 $g(x)$ 存在 2 个零点, 则 $a$ 的取值范围是","$(-1, +\infty)$"
"已知函数 $f(x)=x^2-2x+a(e^{x-1}+e^{-x+1})$ 有唯一零点, 则 $a=$",$\frac{1}{2}$
"青少年视力是社会普遍关注的问题, 视力情况可借助视力表测量. 通常用五分记录法和小数记录法记录视力数据, 五分记录法的数据 $L$ 和小数记录表的数据 $V$ 的满足 $L=5+\lg V$. 已知某同学视力的五分记录法的数据为 $4.9$, 则其视力的小数记录法的数据为 $(\sqrt[10]{10} \approx 1.259)$",$0.8$
"设 $f(x)$ 是定义在 $\mathbb{R}$ 且周期为 1 的函数, 在区间 $[0, 1)$ 上, $f(x)=\begin{cases}x^2, & x \in D \\ x, & x \notin D\end{cases}$ 其中集合 $D=\{x \mid x=\frac{n-1}{n}, n \in \mathbb{N}^*\}$, 则方程 $f(x)-\lg x=0$ 的解的个数是",9
"设 $a \in \mathbf{R}$, 函数 $f(x)=\begin{cases}\cos(2\pi x-2\pi a), & x < a \\ x^2-2(a+1)x+a^2+5, & x \geqslant a\end{cases}$, 若 $f(x)$ 在区间 $(0, +\infty)$ 内恰有 6 个零点, 则 $a$ 的取值范围是","$\left(2, \frac{9}{4}\right] \cup \left(\frac{5}{2}, \frac{11}{4}\right]$"
"设函数 $f(x)$ 的定义域为 $\mathbb{R}$, 满足 $f(x+1)=2f(x)$, 且当 $x \in (0,1]$ 时, $f(x)=x(x-1)$. 若对任意 $x \in (-\infty, m]$, 都有 $f(x) \geqslant -\frac{8}{9}$, 则 $m$ 的取值范围是","$\left(-\infty, \frac{7}{3}\right]$"
"已知 $a>0$, 函数 $f(x)=\begin{cases} x^2+2ax+a, & x \leqslant 0 \\ -x^2+2ax-2a, & x>0 \end{cases}$. 若关于 $x$ 的方程 $f(x)=ax$ 恰有 2 个互异的实数解, 则 $a$ 的取值范围是","$(2, 4)$"
"已知函数 $f(x)=\begin{cases} x^2-x+3, & x \leqslant 1 \\ x+\frac{2}{x}, & x>1 \end{cases}$。设 $a \in \mathbb{R}$, 若关于 $x$ 的不等式 $f(x) \geqslant \left| \frac{x}{2} + a \right|$ 在 $\mathbb{R}$ 上恒成立, 则 $a$ 的取值范围是","$\left[-\frac{47}{16}, 2\right]$"
"已知当 $x \in [0,1]$ 时, 函数 $y=(mx-1)^2$ 的图象与 $y=\sqrt{x}+m$ 的图象有且只有一个交点, 则正实数 $m$ 的取值范围是","$[1,3]$"
"设 $f(x)$ 是定义在 $\mathbb{R}$ 且周期为 1 的函数, 在区间 $[0, 1)$ 上, $f(x)=\begin{cases}x^2, & x \in D \\ x, & x \notin D\end{cases}$ 其中集合 $D=\{x | x=\frac{n-1}{n}, n \in \mathbb{N}^*\}$, 则方程 $f(x)-\lg x=0$ 的解的个数是",9
"已知函数 $f(x)(x \in \mathbb{R})$ 满足 $f(x)=f(2-x)$, 若函数 $y=\left|x^2-2x-3\right|$ 与 $y=f(x)$ 图象的交点为 $(x_1, y_1), (x_2, y_2), \cdots, (x_m, y_m)$, 则 $\sum_{i=1}^m x_i=$",$2m$
"设函数 $f(x)=\ln(1+|x|)-\frac{1}{1+x^2}$, 则使得 $f(x)>f(2x-1)$ 成立的 $x$ 的取值范围是","$\left(\frac{1}{3}, 1\right)$"
"已知函数 $f(x) = \begin{cases} -x^2+2x, & x \leqslant 0 \\ \ln(x+1), & x > 0 \end{cases}$, 若 $|f(x)| \geqslant ax$, 则 $a$ 的取值范围是","$[-2, 0]$"
"若存在正数 $x$ 使 $2^x(x-a) < 1$ 成立, 则 $a$ 的取值范围是","$(-1, +\infty)$"
"若曲线 $y=(x+a)e^x$ 有两条过坐标原点的切线, 则 $a$ 的取值范围是","$(-\infty, -4) \cup (0, +\infty)$"
写出曲线 $y = \ln|x|$ 过坐标原点的切线方程:,"$y = x, y = -x$"
"当 $x=1$ 时, 函数 $f(x) = a\ln x + \frac{b}{x}$ 取得最大值 $-2$, 则 $f'(2)=$",$-\frac{1}{2}$
"已知函数 $f(x) = |e^x - 1|, x_1 < 0, x_2 > 0$, 函数 $f(x)$ 的图象在点 $A(x_1, f(x_1))$ 和点 $B(x_2, f(x_2))$ 的两条切线互相垂直, 且分别交 $y$ 轴于 $M, N$ 两点, 则 $\frac{|AM|}{|BN|}$ 取值范围是","$(0, 1)$"
"曲线 $y = \frac{2x-1}{x+2}$ 在点 $(-1, -3)$ 处的切线方程为",$5x - y + 2 = 0$
"若过点 $(a, b)$ 可以作曲线 $y = e^x$ 的两条切线, 则",$0 < b < e^a$
"函数 $f(x)=x^4-2x^3$ 的图象在点 $(1, f(1))$ 处的切线方程为",$y = -2x + 1$
"设函数 $f(x) = \frac{\mathrm{e}^x}{x+a}$, 若 $f'(1) = \frac{\mathrm{e}}{4}$, 则 $a =$",3
"曲线 $y = \ln x + x + 1$ 的一条切线的斜率为 $2$, 则该切线的方程为",$y = 2x$
"曲线 $y = 3(x^2 + x)\mathrm{e}^x$ 在点 $(0, 0)$ 处的切线方程为",$y = 3x$
"曲线 $y=2\sin x + \cos x$ 在点 $(\pi, -1)$ 处的切线方程为",$2x+y-2\pi+1=0$
"曲线 $y=(ax+1)e^x$ 在点 $(0,1)$ 处的切线的斜率为 $-2$, 则 $a=$",$-3$
"曲线 $y = 2\ln(x+1)$ 在点 $(0,0)$ 处的切线方程为",$y = 2x$
"曲线 $y = 2\ln x$ 在点 $(1,0)$ 处的切线方程为",$y = 2x - 2$
"已知函数 $f(x) = x^3 + (a-1)x^2 + ax$, 若 $f(x)$ 为奇函数, 则曲线 $y = f(x)$ 在点 $(0,0)$ 处的切线方程为",$y = x$
"已知 $f(x)$ 为偶函数，当 $x<0$ 时，$f(x)=\ln(-x)+3x$，则曲线 $y=f(x)$ 在点 $(1,-3)$ 处的切线方程为",$y=-2x-1$
"已知 $f(x)$ 为偶函数，当 $x \leqslant 0$ 时，$f(x)=\mathrm{e}^{-x-1}-x$，则曲线 $y=f(x)$ 在点 $(1,2)$ 处的切线方程式为",$y=2x$
"已知函数 $f(x)=ax^3+x+1$ 的图像在点 $(1,f(1))$ 处的切线过点 $(2,7)$，则 $a=$",1
"已知曲线 $y=x+\ln x$ 在点 $(1,1)$ 处的切线与曲线 $y=ax^2+(a+2)x+1$ 相切，则 $a=$",8
"设曲线 $y=ax-\ln(x+1)$ 在点 $(0,0)$ 处的切线方程为 $y=2x$，则 $a=$",3
"若曲线 $y=x^\alpha+1(\alpha \in \mathbb{R})$ 在点 $(1,2)$ 处的切线经过坐标原点，则 $\alpha=$",2
"若函数 $f(x)=x-\frac{1}{3}\sin 2x+a\sin x$ 在 $(-\infty, +\infty)$ 单调递增, 则 $a$ 的取值范围是","$\left[-\frac{1}{3}, \frac{1}{3}\right]$"
"若函数 $f(x)=kx-\ln x$ 在区间 $(1, +\infty)$ 单调递增, 则 $k$ 的取值范围是","$[1, +\infty)$"
"已知 $x=x_1$ 和 $x=x_2$ 分别是函数 $f(x)=2a^x-ex^2$ ($a>0$ 且 $a 
eq 1$) 的极小值点和极大值点. 若 $x_1<x_2$, 则 $a$ 的取值范围是","$\left(\frac{1}{e}, 1\right)$"
若 $x = -2$ 是函数 $f(x) = (x^2 + ax - 1)e^{x-1}$ 的极值点，则 $f(x)$ 的极小值为,-rac{5}{e^3}
函数 $f(x) = |2x - 1| - 2\ln x$ 的最小值为,0
"当 $x \in [-2, 1]$ 时，不等式 $ax^3 - x^2 + 4x + 3 \ge 0$ 恒成立，则实数 $a$ 的取值范围是","$a \in [-6, -2]$"
设函数 $f(x) = e^x(2x - 1) - ax + a$，其中 $a < 1$，若存在唯一的整数 $x_0$，使得 $f(x_0) < 0$，则 $a$ 的取值范围是,"a \in \left[\frac{3}{2e}, 1\right)"
设函数 $f'(x)$ 是奇函数 $f(x)$ ($x \in \mathbb{R}$) 的导函数，$f(-1) = 0$，当 $x > 0$ 时，$xf'(x) - f(x) < 0$，则使得 $f(x) > 0$ 成立的 $x$ 的取值范围是,"x \in (-\infty, -1) \cup (0, 1)"
已知函数 $f(x) = x^2 - 2x + a(e^{x-1} + e^{-x+1})$ 有唯一零点，则 $a =$,$a = \frac{1}{2}$
已知函数 $f(x) = ax^3 - 3x^2 + 1$，若 $f(x)$ 存在唯一的零点 $x_0$，且 $x_0 > 0$，则 $a$ 的取值范围为,"$a \in (-\infty, -2)$"
"若 $S_1 = \int_1^2 x^2 \, dx$, $S_2 = \int_1^2 \frac{1}{x} \, dx$, $S_3 = \int_1^2 e^x \, dx$，则 $S_1$, $S_2$, $S_3$ 的大小关系为",S_2 < S_1 < S_3
"$\int_0^2 (x - 1) \, dx$",0
"若 $\int_0^T x^2 \, dx = 9$，则常数 $T$ 的值为",3
"计算定积分 $\int_{-1}^1 (x^2 + \sin x) \, dx$ =",$\frac{2}{3}$
"设 $f(x) = \begin{cases} \lg x, & x > 0 \\ x + \int_0^a 3t^2 dt, & x \le 0 \end{cases}$，若 $f(f(1)) = 1$，则 $a =$",2
直线 $y = 4x$ 与曲线 $y = x^3$ 在第一象限内围成的封闭图形的面积为,$\frac{16}{3}$
"已知角 $\alpha$ 的顶点为坐标原点，始边与 $x$ 轴的非负半轴重合，终边上有两点 $A(1, a), B(2, b)$，且 $\cos 2\alpha = \frac{2}{3}$，则 $|a - b| =$",$|a - b| = \frac{\sqrt{5}}{5}$
若 $\tan \theta = -2$，则 $\frac{\sin \theta (1 + \sin 2\theta)}{\sin \theta + \cos \theta} =$,$\frac{2}{5}$
"已知 $\alpha \in (0, \frac{\pi}{2})$，$2\sin 2\alpha = \cos 2\alpha + 1$，则 $\sin \alpha =$",$\frac{\sqrt{5}}{5}$
若 $\tan \alpha = \frac{1}{3}$，则 $\cos 2\alpha =$,$\frac{4}{5}$
已知 $\theta$ 是第四象限角，且 $\sin(\theta + \frac{\pi}{4}) = \frac{3}{5}$，则 $\tan(\theta - \frac{\pi}{4}) =$,$-\frac{4}{3}$
若 $\theta$ 为第二象限角，$\tan(\theta + \frac{\pi}{4}) = \frac{1}{2}$，则 $\sin \theta + \cos \theta =$,$-\frac{\sqrt{10}}{5}$
"若 $\alpha \in (0, \frac{\pi}{2})$，$\tan 2\alpha = \frac{\cos \alpha}{2 - \sin \alpha}$，则 $\tan \alpha =$",$\frac{\sqrt{15}}{15}$
若 $\tan \theta = -2$，则 $\frac{\sin \theta (1 + \sin 2\theta)}{\sin \theta + \cos \theta} =$,$\frac{2}{5}$
$\cos^2 \frac{\pi}{12} - \cos^2 \frac{5\pi}{12} =$,$\frac{1}{2}$
设 $\sin x = -\frac{2}{3}$，则 $\cos 2x =$,$\frac{5}{9}$
已知 $\sin^2\left(\frac{\pi}{4} + \alpha\right) = \frac{2}{3}$，则 $\sin 2\alpha$ 的值是,$-\frac{1}{3}$
已知 $\tan \theta = 2$，则 $\cos 2\theta =$ ； $\tan(\theta - \frac{\pi}{4}) =$,$-\frac{3}{5} ; \frac{1}{3}$
若函数 $f(x) = \sin(x + \varphi) + \cos x$ 的最大值为 $2$，则常数 $\varphi$ 的一个取值为,$\frac{\pi}{2}$
"已知 $\alpha \in (0, \frac{\pi}{2})$，$2\sin 2\alpha = \cos 2\alpha + 1$，则 $\sin \alpha =$",$\frac{\sqrt{5}}{5}$
"函数 $f(x) = 2\sin x - \sin 2x$ 在 $[0, 2\pi]$ 的零点个数为",3
$\tan 255^\circ = $,$2 + \sqrt{3}$
若 $\sin \alpha = \frac{1}{3}$，则 $\cos 2\alpha =$,$\frac{7}{9}$
"已知 $\sin \alpha + \cos \beta = 1, \cos \alpha + \sin \beta = 0$，则 $\sin(\alpha + \beta) =$",$1$
已知 $\tan(\alpha - \frac{5\pi}{4}) = \frac{1}{5}$，则 $\tan \alpha =$,$\frac{3}{2}$
"已知 $\alpha \in (0, \frac{\pi}{2}), \tan \alpha = 2$，则 $\cos(\alpha - \frac{\pi}{4}) =$",$\frac{3\sqrt{10}}{10}$
已知 $\sin \alpha - \cos \alpha = \frac{4}{3}$，则 $\sin 2\alpha =$,$-\frac{7}{9}$
若 $\cos\left(\frac{\pi}{4} - \alpha\right) = \frac{3}{5}$，则 $\sin 2\alpha =$,$\frac{24}{25}$
$\sin 20^\circ \cos 10^\circ - \cos 160^\circ \sin 10^\circ =$,$\frac{1}{2}$
"设 $\alpha \in (0, \frac{\pi}{2}), \beta \in (0, \frac{\pi}{2})$，且 $\tan \alpha = \frac{1 + \sin \beta}{\cos \beta}$，则",$2\alpha - \beta = \frac{\pi}{2}$
已知 $\sin 2\alpha = \frac{2}{3}$，则 $\cos^2(\alpha + \frac{\pi}{4}) =$,$\frac{1}{6}$
"函数 $f(x) = \cos x + (x + 1)\sin x + 1$ 在区间 $[0, 2\pi]$ 的最小值、最大值分别为","$1, \frac{\pi}{2} + 2$"
"记函数 $f(x) = \cos(\omega x + \varphi)(\omega > 0, 0 < \varphi < \pi)$ 的最小正周期为 $T$，若 $f(T) = \frac{\sqrt{3}}{2}$，$x = \frac{\pi}{9}$ 为 $f(x)$ 的零点，则 $\omega$ 的最小值为",3
"记函数 $f(x) = \sin(\omega x + \frac{\pi}{4}) + b(\omega > 0)$ 的最小正周期为 $T$。若 $\frac{2\pi}{3} < T < \pi$，且 $y = f(x)$ 的图象关于点 $(\frac{3\pi}{2}, 2)$ 中心对称，则 $f(\frac{\pi}{2}) =$",1
下列区间中，函数 $f(x) = 7\sin(x - \frac{\pi}{6})$ 单调递增的区间是,"$(\frac{\pi}{6}, \frac{2\pi}{3})$"
已知函数 $f(x) = 2\cos(\omega x + \varphi)$ 的部分图像如图所示，则 $f\left(\frac{\pi}{2}\right) =$,$0$
"下列函数中，以 $\frac{\pi}{2}$ 为周期且在区间 $(\frac{\pi}{4}, \frac{\pi}{2})$ 单调递增的是",$f(x) = |\cos 2x|$
"若 $x_1 = \frac{\pi}{4}, x_2 = \frac{3\pi}{4}$ 是函数 $f(x) = \sin \omega x (\omega > 0)$ 两个相邻的极值点，则 $\omega =$",2
函数 $f(x) = \sin(2x + \frac{3\pi}{2}) - 3\cos x$ 的最小值为,$-4$
"函数 $f(x) = \cos(3x + \frac{\pi}{6})$ 在 $[0, \pi]$ 的零点个数为",3
"若 $f(x) = \cos x - \sin x$ 在 $[-a, a]$ 是减函数，则 $a$ 的最大值是",$\frac{\pi}{4}$
"若 $f(x) = \cos x - \sin x$ 在 $[0, a]$ 是减函数，则 $a$ 的最大值是",$\frac{3\pi}{4}$
函数 $f(x) = \frac{\tan x}{1 + \tan^2 x}$ 的最小正周期为,$\pi$
函数 $f(x) = \sin(2x + \frac{\pi}{3})$ 的最小正周期为,$\pi$
将函数 $f(x) = \sin(\omega x + \frac{\pi}{3}) (\omega > 0)$ 的图像向左平移 $\frac{\pi}{2}$ 个单位长度后得到曲线 $C$，若 $C$ 关于 $y$ 轴对称，则 $\omega$ 的最小值为,$\frac{2}{3}$
"设函数 $f(x) = \sin(\omega x + \frac{\pi}{3})$ 在区间 $(0, \pi)$ 恰有三个极值点、两个零点，则 $\omega$ 的取值范围是","$(\frac{13}{6}, \frac{8}{3}]$"
若函数 $f(x) = A\sin x - \sqrt{3}\cos x$ 的一个零点为 $\frac{\pi}{3}$，则 $A =$ ______；$f\left(\frac{\pi}{2}\right) =$ ______。,① $1$ ； ② $1$
将函数 $f(x) = \sin(\omega x + \frac{\pi}{3}) (\omega > 0)$ 的图像向左平移 $\frac{\pi}{2}$ 个单位长度后得到曲线 $C$，若 $C$ 关于 $y$ 轴对称，则 $\omega$ 的最小值为,$\frac{2}{3}$
把函数 $y = f(x)$ 图像上所有点的横坐标缩短到原来的 $\frac{1}{2}$ 倍，纵坐标不变，再把所得曲线向右平移 $\frac{\pi}{3}$ 个单位长度，得到函数 $y = \sin(x - \frac{\pi}{4})$ 的图像，则 $f(x) =$,$\sin\left(\frac{x}{2} + \frac{\pi}{12}\right)$
将函数 $y = 3\sin(2x + \frac{\pi}{4})$ 的图像向右平移 $\frac{\pi}{6}$ 个单位长度，则平移后的图像中与 $y$ 轴最近的对称轴的方程是,$x = -\frac{5\pi}{24}$
"已知函数 $f(x) = A\sin(\omega x + \varphi) (A > 0, \omega > 0, |\varphi| < \pi)$ 是奇函数，将 $y = f(x)$ 的图像上所有点的横坐标伸长到原来的 $2$ 倍（纵坐标不变），所得图像对应的函数为 $g(x)$。若 $g(x)$ 的最小正周期为 $2\pi$，且 $g(\frac{\pi}{4}) = \sqrt{2}$，则 $f(\frac{3\pi}{8}) =$",$\sqrt{2}$
将函数 $y = 2\sin(2x + \frac{\pi}{6})$ 的图像向右平移 $\frac{1}{4}$ 个周期后，所得图像对应的函数为,$y = 2\sin(2x - \frac{\pi}{3})$
函数 $y = \sin x - \sqrt{3}\cos x$ 的图像可由函数 $y = \sin x + \sqrt{3}\cos x$ 的图像至少向右平移 ______ 个单位长度得到。,$\frac{2\pi}{3}$
函数 $y = \sin x - \sqrt{3}\cos x$ 的图像可由函数 $y = 2\sin x$ 的图像至少向右平移 ______ 个单位长度得到。,$\frac{\pi}{3}$
将函数 $y = \cos(2x + \varphi) (-\pi \le \varphi \le \pi)$ 的图像向右平移 $\frac{\pi}{2}$ 个单位后，与函数 $y = \sin(2x + \frac{\pi}{3})$ 的图像重合，则 $\varphi =$,$\frac{5\pi}{6}$
函数 $f(x) = \sin \frac{x}{3} + \cos \frac{x}{3}$ 的最小正周期和最大值分别是,$6\pi$ 和 $\sqrt{2}$
已知函数 $f(x) = 2\sin x + \sin 2x$，则 $f(x)$ 的最小值是,$-\frac{3\sqrt{3}}{2}$
函数 $f(x) = 2\cos x + \sin x$ 的最大值为,$\sqrt{5}$
"函数 $f(x) = \sin^2 x + \sqrt{3}\cos x - \frac{3}{4}$ ($x \in [0, \frac{\pi}{2}]$) 的最大值是",\frac{3}{2}
函数 $f(x) = \frac{1}{5}\sin\left(x + \frac{\pi}{3}\right) + \cos\left(x - \frac{\pi}{6}\right)$ 的最大值为,$\frac{6}{5}$
函数 $f(x) = \cos 2x + 6\cos\left(\frac{\pi}{2} - x\right)$ 的最大值为,7
函数 $f(x) = \sin(x + 2\varphi) - 2\sin \varphi \cos(x + \varphi)$ 的最大值为,1
设当 $x = \theta$ 时，函数 $f(x) = \sin x - 2\cos x$ 取得最大值，则 $\cos \theta =$,$-\frac{2\sqrt{5}}{5}$
设 $f(x) = \sqrt{3}\sin 3x + \cos 3x$，若对任意实数 $x$ 都有 $|f(x)| \le a$，则实数 $a$ 的取值范围是,$a \ge 2$
"函数 $f(x) = \cos x + (x + 1)\sin x + 1$ 在区间 $[0, 2\pi]$ 的最小值、最大值分别为","$1, \frac{\pi}{2} + 2$"
"记函数 $f(x) = \sin(\omega x + \frac{\pi}{4}) + b(\omega > 0)$ 的最小正周期为 $T$。若 $\frac{2\pi}{3} < T < \pi$，且 $y = f(x)$ 的图象关于点 $(\frac{3\pi}{2}, 2)$ 中心对称，则 $f(\frac{\pi}{2}) =$",1
"已知函数 $f(x) = \sin(\omega x + \varphi) (\omega > 0, |\varphi| \le \frac{\pi}{2})$，$x = -\frac{\pi}{4}$ 为 $f(x)$ 的零点，$x = \frac{\pi}{4}$ 为 $y = f(x)$ 图像的对称轴，且 $f(x)$ 在 $(\frac{\pi}{18}, \frac{5\pi}{36})$ 单调，则 $\omega$ 的最大值为",9
若将函数 $y = 2\sin 2x$ 的图象向左平移 $\frac{\pi}{12}$ 个单位长度，则平移后的图象的对称轴为,$x = \frac{k\pi}{2} + \frac{\pi}{6} (k \in \mathbb{Z})$
"已知 $\triangle ABC$ 中，点 $D$ 在边 $BC$ 上，$\angle ADB = 120^\circ, AD = 2, CD = 2BD$。当 $\frac{AC}{AB}$ 取得最小值时，$BD =$",$\sqrt{3} - 1$
"在 $\triangle ABC$ 中，已知 $B = 120^\circ, AC = \sqrt{19}, AB = 2$，则 $BC =$",3
"记 $\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$，面积为 $\sqrt{3}, B = 60^\circ, a^2 + c^2 = 3ac$，则 $b =$",$2$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$，已知 $a\sin A - b\sin B = 4c\sin C, \cos A = -\frac{1}{4}$，则 $\frac{b}{c} =$",2
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。若 $b = 6, a = 2c, B = \frac{\pi}{3}$，则 $\triangle ABC$ 的面积为",$6\sqrt{3}$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。已知 $b\sin C + c\sin B = 4a\sin B\sin C, b^2 + c^2 - a^2 = 8$，则 $\triangle ABC$ 的面积为",$\frac{2\sqrt{3}}{3}$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。若 $\triangle ABC$ 的面积为 $\frac{a^2 + b^2 - c^2}{4}$，则 $C =$",$\frac{\pi}{3}$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。若 $2b\cos B = a\cos C + c\cos A$，则 $B =$",$\frac{\pi}{3}$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。已知 $a = \sqrt{5}, c = 2, \cos A = \frac{2}{3}$，则 $b =$",3
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$。若 $\cos A = \frac{4}{5}, \cos C = \frac{5}{13}, a = 1$，则 $b =$",$\frac{21}{13}$
"钝角三角形 $ABC$ 的面积为 $\frac{1}{2}$, $AB = 1$, $BC = \sqrt{2}$，则 $AC =$",$\sqrt{5}$
"已知 $a, b, c$ 分别为 $\triangle ABC$ 的三个内角 $A, B, C$ 的对边，$a = 2$，且 $(2 + b)(\sin A - \sin B) = (c - b)\sin C$，则 $\triangle ABC$ 面积的最大值为",$\sqrt{3}$
"已知锐角 $\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$，$23\cos^2 A + \cos 2A = 0, a = 7, c = 6$，则 $b =$",5
"我国南宋著名数学家秦九韶，发现了从三角形三边求面积的公式，他把这种方法称为“三斜求积”，它填补了我国传统数学的一个空白。如果把这个方法写成公式，就是 $S = \sqrt{\frac{1}{4}[c^2a^2 - (\frac{c^2 + a^2 - b^2}{2})^2]}$，其中 $a, b, c$ 是三角形的三边，$S$ 是三角形的面积。设某三角形的三边 $a = \sqrt{2}, b = \sqrt{3}, c = 2$，则该三角形的面积 $S =$",$\frac{\sqrt{23}}{4}$
"在 $\triangle ABC$ 中，$\cos C = \frac{2}{3}, AC = 4, BC = 3$，则 $\tan B =$",$\frac{4\sqrt{5}}{5}$
"在 $\triangle ABC$ 中，$\cos C = \frac{2}{3}, AC = 4, BC = 3$，则 $\cos B =$",$\frac{1}{9}$
关于 $\pi$ 近似值的表达方式，按照阿尔·卡西的方法应为,$3n\left(\sin \frac{30^\circ}{n} + \tan \frac{30^\circ}{n}\right)$
"在 $\triangle ABC$ 中，$\angle ABC = 90^\circ, AB = 4, BC = 3$，点 $D$ 在线段 $AC$ 上。若 $\angle BDC = 45^\circ$，则","$BD = \frac{12\sqrt{2}}{5}, \cos \angle ABD = \frac{7\sqrt{2}}{10}$"
"在 $\triangle ABC$ 中，$\cos \frac{C}{2} = \frac{\sqrt{5}}{5}, BC = 1, AC = 5$，则 $AB =$",$4\sqrt{2}$
"$\triangle ABC$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$，若 $\cos A = \frac{4}{5}, \cos C = \frac{5}{13}, a = 1$，则 $b =$ ________。",$\frac{21}{13}$
在 $\triangle ABC$ 中，$B = \frac{\pi}{4}$，$BC$ 边上的高等于 $\frac{1}{3} BC$，则 $\cos A =$（ ）,$-\frac{\sqrt{10}}{10}$
在 $\triangle ABC$ 中，$B = \frac{\pi}{4}$，$BC$ 边上的高等于 $\frac{1}{3} BC$，则 $\sin A =$（ ）,$\frac{3\sqrt{10}}{10}$
"在 $\triangle ABC$ 中，若 $AB = \sqrt{13}, BC = 3, \angle C = 120^\circ$，则 $AC =$（ ）",1
在平面四边形 $ABCD$ 中，$\angle A = \angle B = \angle C = 75^\circ$，$BC = 2$，则 $AB$ 的取值范围是 ________。,"$(\sqrt{6} - \sqrt{2}, \sqrt{6} + \sqrt{2})$"
"在 $\triangle ABC$ 中，点 $D$ 在边 $AB$ 上，$BD = 2DA$。记 $\vec{CA} = \vec{m}, \vec{CD} = \vec{n}$，则 $\vec{CB} =$（ ） A. $3\vec{m} - 2\vec{n}$ B. $-2\vec{m} + 3\vec{n}$ C. $3\vec{m} + 2\vec{n}$ D. $2\vec{m} + 3\vec{n}$",$-2\vec{m} + 3\vec{n}$
"设向量 $\vec{a}, \vec{b}$ 的夹角的余弦值为 $\frac{1}{3}$，且 $|\vec{a}| = 1, |\vec{b}| = 3$，则 $(2\vec{a} + \vec{b}) \cdot \vec{b} =$ ________。",11
"已知向量 $\vec{a} = (2, 1), \vec{b} = (-2, 4)$，则 $|\vec{a} - \vec{b}| =$（ ） A. 2 B. 3 C. 4 D. 5",5
在 $\triangle ABC$ 中，$D$ 是 $AB$ 边上的中点，则 $\vec{CB} =$（ ） A. $2\vec{CD} + \vec{CA}$ B. $\vec{CD} - 2\vec{CA}$ C. $2\vec{CD} - \vec{CA}$ D. $\vec{CD} + 2\vec{CA}$,$2\vec{CD} - \vec{CA}$
"设 $D, E, F$ 分别为 $\triangle ABC$ 的三边 $BC, CA, AB$ 的中点，则 $\vec{EB} + \vec{FC} =$（ ）
A. $\vec{BC}$  B. $\frac{1}{2}\vec{AD}$  C. $\vec{AD}$  D. $\frac{1}{2}\vec{BC}$",$\vec{AD}$
在 $\triangle ABC$ 中，$AD$ 为 $BC$ 边上的中线，$E$ 为 $AD$ 的中点，则 $\vec{EB} =$（ ） A. $\frac{3}{4}\vec{AB} - \frac{1}{4}\vec{AC}$ B. $\frac{1}{4}\vec{AB} - \frac{3}{4}\vec{AC}$ C. $\frac{3}{4}\vec{AB} + \frac{1}{4}\vec{AC}$ D. $\frac{1}{4}\vec{AB} + \frac{3}{4}\vec{AC}$,$\frac{3}{4}\vec{AB} - \frac{1}{4}\vec{AC}$
"在 $\triangle ABC$ 中，点 $M, N$ 满足 $\vec{AM} = 2\vec{MC}$，$\vec{BN} = \vec{NC}$，若 $\vec{MN} = x\vec{AB} + y\vec{AC}$，则 $x =$ ________；$y =$ ________。",$\frac{1}{2}$  $-\frac{1}{6}$
