question,answer
"??? $f(x)$ ????? $R$, ?? $f(x+1)=2f(x)$, ?? $x \in (0,1]$ ?, $f(x)=x(x-1)$. ???? $x \in (-\infty, m]$, ?? $f(x) \geqslant -\frac{8}{9}$, ? $m$ ??????","$\left(-\infty, \frac{7}{3}\right]$"
"?? $a>0$, ?? $f(x)=\begin{cases} x^2+2ax+a, & x \leqslant 0 \\ -x^2+2ax-2a, & x>0 \end{cases}$. ??? $x$ ??? $f(x)=ax$ ?? 2 ???????, ? $a$ ??????","$(4, 8)$"
"???? $f(x)=\begin{cases} x^2-x+3, & x \leqslant 1 \\ x+\frac{2}{x}, & x>1 \end{cases}$. ? $a \in R$, ??? $x$ ???? $f(x) \geqslant \left| \frac{x}{2} + a \right|$ ? $R$ ????, ? $a$ ??????","$\left[-\frac{47}{16}, 2\right]$"
"??? $x \in [0,1]$ ?, ?? $y=(mx-1)^2$ ???? $y=\sqrt{x}+m$ ???????????, ???? $m$ ??????","$[0,1] \cup [3,+\infty)$"
"? $f(x)$ ???? $R$ ???? 1 ???, ??? $[0, 1)$ ?, $f(x)=\begin{cases}x^2, x \in D \\ x, x \notin D\end{cases}$ ???? $D=\{x | x=\frac{n-1}{n}, n \in N^*\}$, ??? $f(x)-\lg x=0$ ??????",$8$
"???? $f(x)(x \in R)$ ?? $f(x)=f(2-x)$, ??? $y=\left|x^2-2x-3\right|$ ? $y=f(x)$ ?????? $(x_1, y_1), (x_2, y_2), \cdots, (x_m, y_m)$, ? $\sum_{i=1}^m x_i=$",$m$
"??? $f(x)=\ln(1+|x|)-\frac{1}{1+x^2}$, ??? $f(x)>f(2x-1)$ ??? $x$ ??????","$\left(\frac{1}{3}, 1\right)$"
"???? $f(x) = \begin{cases} -x^2+2x, & x \leqslant 0 \\ \ln(x+1), & x > 0 \end{cases}$, ? $|f(x)| \geqslant ax$, ? $a$ ??????","$[-2, 0]$"
"????? $x$ ? $2^x(x-a) < 1$ ??, ? $a$ ??????","$(-1, +\infty)$"
"??? $y=(x+a)e^x$ ???????????, ? $a$ ??????","$(-\infty, -4) \cup (0, +\infty)$"
???? $y = \ln|x|$ ??????????:,"$y = \frac{1}{\mathrm{e}}x, y = -\frac{1}{\mathrm{e}}x$"
"? $x=1$ ?, ?? $f(x) = a\ln x + \frac{b}{x}$ ????? $-2$, ? $f'(2)=$",$-\frac{1}{2}$
"???? $f(x) = |e^x - 1|, x_1 < 0, x_2 > 0$, ?? $f(x)$ ????? $A(x_1, f(x_1))$ ?? $B(x_2, f(x_2))$ ?????????, ???? $y$ ?? $M, N$ ??, ? $\frac{|AM|}{|BN|}$ ?????","$(0, 1)$"
"?? $y = \frac{2x-1}{x+2}$ ?? $(-1, -3)$ ???????",$5x - y + 2 = 0$
"??? $(a, b)$ ????? $y = e^x$ ?????, ?",$0 < b < e^a$
"?? $f(x)=x^4-2x^3$ ????? $(1, f(1))$ ???????",$y = -2x + 1$
"??? $f(x) = \frac{\mathrm{e}^x}{x+a}$, ? $f'(1) = \frac{\mathrm{e}}{4}$, ? $a =$",$1$
"?? $y = \ln x + x + 1$ ????????? $2$, ????????",$y = 2x$
"?? $y = 3(x^2 + x)\mathrm{e}^x$ ?? $(0, 0)$ ???????",$y = 3x$
"?? $y=2\sin x + \cos x$ ?? $(\pi, -1)$ ???????",$2x+y-2\pi+1=0$
"?? $y=(ax+1)e^x$ ?? $(0,1)$ ???????? $-2$, ? $a=$",$-3$
"?? $y = 2\ln(x+1)$ ?? $(0,0)$ ???????",$y = 2x$
"?? $y = 2\ln x$ ?? $(1,0)$ ???????",$y = 2x - 2$
"???? $f(x) = x^3 + (a-1)x^2 + ax$, ? $f(x)$ ????, ??? $y = f(x)$ ?? $(0,0)$ ???????",$y = x$
"?? $f(x)$ ????,? $x<0$ ?,$f(x)=\ln(-x)+3x$,??? $y=f(x)$ ?? $(1,-3)$ ???????",$y=-2x-1$
"?? $f(x)$ ????,? $x \leqslant 0$ ?,$f(x)=\mathrm{e}^{-x-1}-x$,??? $y=f(x)$ ?? $(1,2)$ ????????",$y=2x$
"???? $f(x)=ax^3+x+1$ ????? $(1,f(1))$ ?????? $(2,7)$,? $a=$",$1$
"???? $y=x+\ln x$ ?? $(1,1)$ ??????? $y=ax^2+(a+2)x+1$ ??,? $a=$",$8$
"??? $y=ax-\ln(x+1)$ ?? $(0,0)$ ??????? $y=2x$,? $a=$",$3$
"??? $y=x^\alpha+1(a \in R)$ ?? $(1,2)$ ??????????,? $\alpha=$",$2$
"??? $f(x)=x-\frac{1}{3}\sin 2x+a\sin x$ ? $(-\infty, +\infty)$ ????, ? $a$ ??????","$\left[-\frac{1}{3}, \frac{1}{3}\right]$"
"??? $f(x)=kx-\ln x$ ??? $(1, +\infty)$ ????, ? $k$ ??????","$[1, +\infty)$"
"?? $x=x_1$ ? $x=x_2$ ????? $f(x)=2a^x-ex^2(a>0$ ? $a \neq 1)$ ??????????. ? $x_1<x_2$, ? $a$ ??????","$\left(\frac{1}{e}, 1\right)$"
? $x = -2$ ??? $f(x) = (x^2 + ax - 1)e^{x-1}$ ????,? $f(x)$ ?????,-1
?? $f(x) = |2x - 1| - 2\ln x$ ?????,1
"? x \in [-2, 1] ?,??? ax^3 - x^2 + 4x + 3 \ge 0 ???,??? a ??????","a \in [-6, -2]"
??? f(x) = e^x(2x - 1) - ax + a,?? a < 1,???????? x_0,?? f(x_0) < 0,? a ??????,"a \in [\frac{3}{2e}, 1)"
??? f'(x) ???? f(x) (x \in R) ????,f(-1) = 0,? x > 0 ?,xf'(x) - f(x) < 0,??? f(x) > 0 ??? x ??????,"x \in (-\infty, -1) \cup (0, 1)"
???? f(x) = x^2 - 2x + a(e^{x-1} + e^{-x+1}) ?????,? a =,a = \frac{1}{2}
???? f(x) = ax^3 - 3x^2 + 1,? f(x) ??????? x_0,? x_0 > 0,? a ??????,"a \in (-\infty, -2)"
"? S_1 = \int_1^2 x^2 dx, S_2 = \int_1^2 \frac{1}{x} dx, S_3 = \int_1^2 e^x dx,? S_1, S_2, S_3 ??????",S_2 < S_1 < S_3
\int_0^2 (x - 1) dx =,0
? \int_0^T x^2 dx = 9,??? T ???,3
????? \int_{-1}^1 (x^2 + \sin x) dx =,\frac{2}{3}
"? f(x) = \begin{cases} \lg x, x > 0 \\ x + \int_0^a 3t^2 dt, x \le 0 \end{cases},? f(f(1)) = 1,? a =",8.1
?? y = 4x ??? y = x^3 ?????????????????,4
"??? $\alpha$ ????????,??? $x$ ????????,?????? $A(1, a), B(2, b)$,? $\cos 2\alpha = \frac{2}{3}$,? $|a - b| =$",$|a - b| = \frac{\sqrt{5}}{5}$
? $\tan \theta = -2$,? $\frac{\sin \theta (1 + \sin 2\theta)}{\sin \theta + \cos \theta} =$,$\frac{2}{5}$
"?? $\alpha \in (0, \frac{\pi}{2})$,$\text{2}\sin 2\alpha = \cos 2\alpha + 1$,? $\sin \alpha =$ ",$\frac{\sqrt{5}}{5}$
? $\tan \alpha = \frac{1}{3}$,? $\cos 2\alpha =$,$\frac{4}{5}$
?? $\theta$ ??????,? $\sin(\theta + \frac{\pi}{4}) = \frac{3}{5}$,? $\tan(\theta - \frac{\pi}{4}) =$,$-\frac{4}{3}$
? $\theta$ ??????,$\tan(\theta + \frac{\pi}{4}) = \frac{1}{2}$,? $\sin \theta + \cos \theta =$,$-\frac{\sqrt{10}}{5}$
"? $\alpha \in (0, \frac{\pi}{2})$,$\tan 2\alpha = \frac{\cos \alpha}{2 - \sin \alpha}$,? $\tan \alpha =$",$\frac{\sqrt{15}}{15}$
? $\tan \theta = -2$,? $\frac{\sin \theta (1 + \sin 2\theta)}{\sin \theta + \cos \theta} =$,$\frac{2}{5}$
$\cos^2 \frac{\pi}{12} - \cos^2 \frac{5\pi}{12} =$,$\frac{\sqrt{3}}{2}$
? $\sin x = -\frac{2}{3}$,? $\cos 2x =$,$\frac{1}{9}$
?? $\sin^2(\frac{\pi}{4} + \alpha) = \frac{2}{3}$,? $\sin 2\alpha$ ???,$\frac{1}{3}$
?? $\tan \theta = 2$,? $\cos 2\theta =$ ; $\tan(\theta - \frac{\pi}{4}) =$,$-\frac{3}{5} ; \frac{1}{3}$
??? $f(x) = \sin(x + \varphi) + \cos x$ ????? $2$,??? $\varphi$ ??????,$\frac{\pi}{2}$
"?? $\alpha \in (0, \frac{\pi}{2})$, $2\sin 2\alpha = \cos 2\alpha + 1$,? $\sin \alpha =$",$\frac{\sqrt{5}}{5}$
"?? $f(x) = 2\sin x - \sin 2x$ ? $[0, 2\pi]$ ??????",3
$\tan 255^\circ =$,$2 + \sqrt{3}$
? $\sin \alpha = \frac{1}{3}$,? $\cos 2\alpha =$,$\frac{7}{9}$
"?? $\sin \alpha + \cos \beta = 1, \cos \alpha + \sin \beta = 0$,? $\sin(\alpha + \beta) =$",$-\frac{1}{2}$
?? $\tan(\alpha - \frac{5\pi}{4}) = \frac{1}{5}$,? $\tan \alpha =$,$\frac{3}{2}$
"?? $\alpha \in (0, \frac{\pi}{2}), \tan \alpha = 2$,? $\cos(\alpha - \frac{\pi}{4}) =$",$\frac{3\sqrt{10}}{10}$
?? $\sin \alpha - \cos \alpha = \frac{4}{3}$,? $\sin 2\alpha =$,$-\frac{7}{9}$
? $\cos(\frac{\pi}{4} - \alpha) = \frac{3}{5}$,? $\sin 2\alpha =$,$\frac{7}{25}$
$\sin 20^\circ \cos 10^\circ - \cos 160^\circ \sin 10^\circ =$,$\frac{1}{2}$
"? $\alpha \in (0, \frac{\pi}{2}), \beta \in (0, \frac{\pi}{2})$,? $\tan \alpha = \frac{1 + \sin \beta}{\cos \beta}$,?",$2\alpha - \beta = \frac{\pi}{2}$
?? $\sin 2\alpha = \frac{2}{3}$,? $\cos^2(\alpha + \frac{\pi}{4}) =$,$\frac{1}{6}$
"?? $f(x) = \cos x + (x + 1)\sin x + 1$ ??? $[0, 2\pi]$ ???????????","$-\frac{3\pi}{2}, \frac{\pi}{2} + 2$"
"??? $f(x) = \cos(\omega x + \varphi)(\omega > 0, 0 < \varphi < \pi)$ ??????? $T$,? $f(T) = \frac{\sqrt{3}}{2}$,$x = \frac{\pi}{9}$ ? $f(x)$ ???,? $\omega$ ?????",3
"??? $f(x) = \sin(\omega x + \frac{\pi}{4}) + b(\omega > 0)$ ??????? $T$?? $\frac{2\pi}{3} < T < \pi$,? $y = f(x)$ ?????? $(\frac{3\pi}{2}, 2)$ ????,? $f(\frac{\pi}{2}) =$",1
?????,?? $f(x) = 7\sin(x - \frac{\pi}{6})$ ????????,"$(0, \frac{\pi}{2})$"
???? $f(x) = 2\cos(\omega x + \varphi)$ ?????????,? $f(\frac{\pi}{2}) =$,$-\sqrt{3}$
"?????,? $\frac{\pi}{2}$ ??????? $(\frac{\pi}{4}, \frac{\pi}{2})$ ??????",$f(x) = |\cos 2x|$
"? $x_1 = \frac{\pi}{4}, x_2 = \frac{3\pi}{4}$ ??? $f(x) = \sin \omega x (\omega > 0)$ ????????,? $\omega =$",2
?? $f(x) = \sin(2x + \frac{3\pi}{2}) - 3\cos x$ ?????,$-4$
"?? $f(x) = \cos(3x + \frac{\pi}{6})$ ? $[0, \pi]$ ??????",3
"? $f(x) = \cos x - \sin x$ ? $[-a, a]$ ????,? $a$ ?????",$\frac{\pi}{4}$
"? $f(x) = \cos x - \sin x$ ? $[0, a]$ ????,? $a$ ?????",$\frac{3\pi}{4}$
?? $f(x) = \frac{\tan x}{1 + \tan^2 x}$ ???????,$\pi$
?? $f(x) = \sin(2x + \frac{\pi}{3})$ ???????,$\pi$
??? $f(x) = \sin(\omega x + \frac{\pi}{3}) (\omega > 0)$ ??????? $\frac{\pi}{2}$ ?????????? $C$,? $C$ ?? $y$ ???,? $\omega$ ?????,$\frac{1}{3}$
"??? $f(x) = \sin(\omega x + \frac{\pi}{3})$ ??? $(0, \pi)$ ????????????,? $\omega$ ??????","$(\frac{13}{6}, \frac{8}{3}]$"
??? $f(x) = A\sin x - \sqrt{3}\cos x$ ?????? $\frac{\pi}{3}$,? $A =$ ______;$f(\frac{\pi}{2}) =$ ______?,? $1$ ; ? $-\sqrt{2}$
??? $f(x) = \sin(\omega x + \frac{\pi}{3}) (\omega > 0)$ ??????? $\frac{\pi}{2}$ ?????????? $C$,? $C$ ?? $y$ ???,? $\omega$ ?????,$\frac{1}{3}$
??? $y = f(x)$ ???????????????? $\frac{1}{2}$ ?,?????,?????????? $\frac{\pi}{3}$ ?????,???? $y = \sin(x - \frac{\pi}{4})$ ???,? $f(x) =$,$\sin(\frac{x}{2} + \frac{\pi}{12})$
??? $y = 3\sin(2x + \frac{\pi}{4})$ ??????? $\frac{\pi}{6}$ ?????,????????? $y$ ???????????,$x = -\frac{5\pi}{24}$
"???? $f(x) = A\sin(\omega x + \varphi) (A > 0, \omega > 0, |\varphi| < \pi)$ ????,? $y = f(x)$ ????????????????? $2$ ?(?????),?????????? $g(x)$?? $g(x)$ ??????? $2\pi$,? $g(\frac{\pi}{4}) = \sqrt{2}$,? $f(\frac{3\pi}{8}) =$",$\sqrt{2}$
??? $y = 2\sin(2x + \frac{\pi}{6})$ ??????? $\frac{1}{4}$ ????,??????????,$y = 2\sin(2x - \frac{\pi}{3})$
?? $y = \sin x - \sqrt{3}\cos x$ ??????? $y = \sin x + \sqrt{3}\cos x$ ????????? ______ ????????,$\frac{2\pi}{3}$
?? $y = \sin x - \sqrt{3}\cos x$ ??????? $y = 2\sin x$ ????????? ______ ????????,$\frac{\pi}{3}$
??? $y = \cos(2x + \varphi) (-\pi \le \varphi \le \pi)$ ??????? $\frac{\pi}{2}$ ????,??? $y = \sin(2x + \frac{\pi}{3})$ ?????,? $\varphi =$,$\frac{5\pi}{6}$
?? $f(x) = \sin \frac{x}{3} + \cos \frac{x}{3}$ ?????????????,$6\pi$ ? $\sqrt{2}$
???? $f(x) = 2\sin x + \sin 2x$,? $f(x)$ ?????,$-\frac{3\sqrt{3}}{2}$
?? $f(x) = 2\cos x + \sin x$ ?????,$\sqrt{5}$
"?? $f(x) = \sin^2 x + \sqrt{3}\cos x - \frac{3}{4} (x \in [0, \frac{\pi}{2}])$ ?????",1
?? $f(x) = \frac{1}{5}\sin(x + \frac{\pi}{3}) + \cos(x - \frac{\pi}{6})$ ?????,$\frac{6}{5}$
?? $f(x) = \cos 2x + 6\cos(\frac{\pi}{2} - x)$ ?????,5
?? $f(x) = \sin(x + 2\varphi) - 2\sin \varphi \cos(x + \varphi)$ ?????,1
?? $x = \theta$ ?,?? $f(x) = \sin x - 2\cos x$ ?????,? $\cos \theta =$,$-\frac{2\sqrt{5}}{5}$
? $f(x) = \sqrt{3}\sin 3x + \cos 3x$,?????? $x$ ?? $|f(x)| \le a$,??? $a$ ??????,$a \ge 2$
"?? $f(x) = \cos x + (x + 1)\sin x + 1$ ??? $[0, 2\pi]$ ???????????","$-\frac{3\pi}{2}, \frac{\pi}{2} + 2$"
"??? $f(x) = \sin(\omega x + \frac{\pi}{4}) + b(\omega > 0)$ ??????? $T$?? $\frac{2\pi}{3} < T < \pi$,? $y = f(x)$ ?????? $(\frac{3\pi}{2}, 2)$ ????,? $f(\frac{\pi}{2}) =$",1
"???? $f(x) = \sin(\omega x + \varphi) (\omega > 0, |\varphi| \le \frac{\pi}{2})$,$x = -\frac{\pi}{4}$ ? $f(x)$ ???,$x = \frac{\pi}{4}$ ? $y = f(x)$ ??????,? $f(x)$ ? $(\frac{\pi}{18}, \frac{5\pi}{36})$ ??,? $\omega$ ?????",9
???? $y = 2\sin 2x$ ??????? $\frac{\pi}{12}$ ?????,????????????,$x = \frac{k\pi}{2} + \frac{\pi}{6} (k \in Z)$
"?? $\triangle ABC$ ?,? $D$ ?? $BC$ ?,$\angle ADB = 120^\circ, AD = 2, CD = 2BD$?? $\frac{AC}{AB}$ ??????,$BD =$",$\sqrt{3} - 1$
"? $\triangle ABC$ ?,?? $B = 120^\circ, AC = \sqrt{19}, AB = 2$,? $BC =$",3
"? $\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$,??? $\sqrt{3}, B = 60^\circ, a^2 + c^2 = 3ac$,? $b =$",$2\sqrt{2}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$,?? $a\sin A - b\sin B = 4c\sin C, \cos A = -\frac{1}{4}$,? $\frac{b}{c} =$",6
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$?? $b = 6, a = 2c, B = \frac{\pi}{3}$,? $\triangle ABC$ ????",$6\sqrt{3}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$??? $b\sin C + c\sin B = 4a\sin B\sin C, b^2 + c^2 - a^2 = 8$,? $\triangle ABC$ ????",$\frac{2\sqrt{3}}{3}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$?? $\triangle ABC$ ???? $\frac{a^2 + b^2 - c^2}{4}$,? $C =$",$\frac{\pi}{4}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$?? $2b\cos B = a\cos C + c\cos A$,? $B =$",$\frac{\pi}{3}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$??? $a = \sqrt{5}, c = 2, \cos A = \frac{2}{3}$,? $b =$",3
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$?? $\cos A = \frac{4}{5}, \cos C = \frac{5}{13}, a = 1$,? $b =$",$\frac{21}{13}$
"????? $ABC$ ???? $\frac{1}{2}, AB = 1, BC = \sqrt{2}$,? $AC =$",$\sqrt{5}$
"?? $a, b, c$ ??? $\triangle ABC$ ????? $A, B, C$ ???,$a = 2$,? $(2 + b)(\sin A - \sin B) = (c - b)\sin C$,? $\triangle ABC$ ???????",$\sqrt{3}$
"???? $\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$,$23\cos^2 A + \cos 2A = 0, a = 7, c = 6$,? $b =$",5
"????????????,???????????????,????????�????�,???????????????????????????,?? $S = \sqrt{\frac{1}{4}[c^2a^2 - (\frac{c^2 + a^2 - b^2}{2})^2]}$,?? $a, b, c$ ???????,$S$ ???????????????? $a = \sqrt{2}, b = \sqrt{3}, c = 2$,???????? $S =$",$\frac{\sqrt{23}}{4}$
"? $\triangle ABC$ ?,$\cos C = \frac{2}{3}, AC = 4, BC = 3$,? $\tan B =$",$4\sqrt{5}$
"? $\triangle ABC$ ?,$\cos C = \frac{2}{3}, AC = 4, BC = 3$,? $\cos B =$",$\frac{1}{9}$
?? $\pi$ ????????,????�???????,$3n(\sin \frac{30^\circ}{n} + \tan \frac{30^\circ}{n})$
"? $\triangle ABC$ ?,$\angle ABC = 90^\circ, AB = 4, BC = 3$,? $D$ ??? $AC$ ??? $\angle BDC = 45^\circ$,?","$BD = \frac{12\sqrt{2}}{5}, \cos \angle ABD = \frac{7\sqrt{2}}{10}$"
"? $\triangle ABC$ ?,$\cos \frac{C}{2} = \frac{\sqrt{5}}{5}, BC = 1, AC = 5$,? $AB =$",$4\sqrt{2}$
"$\triangle ABC$ ??? $A, B, C$ ?????? $a, b, c$,? $\cos A = \frac{4}{5}, \cos C = \frac{5}{13}, a = 1$,? $b =$ ________?",$\frac{21}{13}$
? $\triangle ABC$ ?,$B = \frac{\pi}{4}$,$BC$ ?????? $\frac{1}{3} BC$,? $\cos A =$( ),$-\frac{\sqrt{10}}{10}$
? $\triangle ABC$ ?,$B = \frac{\pi}{4}$,$BC$?????? $\frac{1}{3} BC$,? $\sin A =$( ),$\frac{3\sqrt{10}}{10}$
"? $\triangle ABC$ ?,? $AB = \sqrt{13}, BC = 3, \angle C = 120^\circ$,? $AC =$( )",1
?????? $ABCD$ ?,$\angle A = \angle B = \angle C = 75^\circ$,$BC = 2$,? $AB$ ?????? ________?,"$(\sqrt{6} - \sqrt{2}, \sqrt{6} + \sqrt{2})$"
"? $\triangle ABC$ ?,? $D$ ?? $AB$ ?,$BD = 2DA$?? $\vec{CA} = \vec{m}, \vec{CD} = \vec{n}$,? $\vec{CB} =$( ) A. $3\vec{m} - 2\vec{n}$ B. $-2\vec{m} + 3\vec{n}$ C. $3\vec{m} + 2\vec{n}$ D. $2\vec{m} + 3\vec{n}$",$-2\vec{m} + 3\vec{n}$
"??? $\vec{a}, \vec{b}$ ???????? $\frac{1}{3}$,? $|\vec{a}| = 1, |\vec{b}| = 3$,? $(2\vec{a} + \vec{b}) \cdot \vec{b} =$ ________?",11
"???? $\vec{a} = (2, 1), \vec{b} = (-2, 4)$,? $|\vec{a} - \vec{b}| =$( ) A. 2 B. 3 C. 4 D. 5",5
? $\triangle ABC$ ?,$D$ ? $AB$ ?????,? $\vec{CB} =$( ) A. $2\vec{CD} + \vec{CA}$ B. $\vec{CD} - 2\vec{CA}$ C. $2\vec{CD} - \vec{CA}$ D. $\vec{CD} + 2\vec{CA}$,$2\vec{CD} - \vec{CA}$
"? $D, E, F$ ??? $\triangle ABC$ ??? $BC, CA, AB$ ???,? $\vec{EB} + \vec{FC} =$( )
A. $\vec{BC}$  B. $\frac{1}{2}\vec{AD}$  C. $\vec{AD}$  D. $\frac{1}{2}\vec{BC}$",$\vec{AD}$
? $\triangle ABC$ ?,$AD$ ? $BC$ ?????,$E$ ? $AD$ ???,? $\vec{EB} =$( ) A. $\frac{3}{4}\vec{AB} - \frac{1}{4}\vec{AC}$ B. $\frac{1}{4}\vec{AB} - \frac{3}{4}\vec{AC}$ C. $\frac{3}{4}\vec{AB} + \frac{1}{4}\vec{AC}$ D. $\frac{1}{4}\vec{AB} + \frac{3}{4}\vec{AC}$,$\frac{3}{4}\vec{AB} - \frac{1}{4}\vec{AC}$
"? $\triangle ABC$ ?,? $M, N$ ?? $\vec{AM} = 2\vec{MC}$,$\vec{BN} = \vec{NC}$,? $\vec{MN} = x\vec{AB} + y\vec{AC}$,? $x =$ ________;$y =$ ________?",$\frac{1}{2}$  $-\frac{1}{6}$
? $D$ ? $\triangle ABC$ ???????,$\vec{BC} = 3\vec{CD}$,?( ) A. $\vec{AD} = -\frac{1}{3}\vec{AB} + \frac{4}{3}\vec{AC}$ B. $\vec{AD} = \frac{1}{3}\vec{AB} - \frac{4}{3}\vec{AC}$ C. $\vec{AD} = \frac{4}{3}\vec{AB} + \frac{1}{3}\vec{AC}$ D. $\vec{AD} = \frac{4}{3}\vec{AB} - \frac{1}{3}\vec{AC}$,$\vec{AD} = -\frac{1}{3}\vec{AB} + \frac{4}{3}\vec{AC}$
????? $ABCD$ ???? 2,$E$ ? $CD$ ???,? $\vec{AE} \cdot \vec{BD} =$ ________?,2
"?? $\vec{a} = (3, 4), \vec{b} = (1, 0), \vec{c} = \vec{a} + t\vec{b}$,? $\langle \vec{a}, \vec{c} \rangle = \langle \vec{b}, \vec{c} \rangle$,? $t =$( ) A. $-6$ B. $-5$ C. $5$ D. $6$",5
"???? $\vec{a} = (2, 5), \vec{b} = (\lambda, 4)$,? $\vec{a} // \vec{b}$,? $\lambda =$ ________?",$\frac{8}{5}$
"??? $\vec{a}, \vec{b}$ ?? $|\vec{a}| = 3, |\vec{a} - \vec{b}| = 5, \vec{a} \cdot \vec{b} = 1$,? $|\vec{b}| =$ ________?",$3\sqrt{2}$
"???? $\vec{a} = (3, 1), \vec{b} = (1, 0), \vec{c} = \vec{a} + k\vec{b}$?? $\vec{a} \perp \vec{c}$,? $k =$ ________?",$-\frac{10}{3}$
"???? $\vec{a} = (2, 3), \vec{b} = (3, 2)$,? $|\vec{a} - \vec{b}| =$( ) A. $\sqrt{2}$ B. 2 C. $5\sqrt{2}$ D. 50",$\sqrt{2}$
"???? $\vec{a} = (1, 2), \vec{b} = (2, -2), \vec{c} = (1, \lambda)$?? $\vec{c} // (2\vec{a} + \vec{b})$,? $\lambda =$ ________?",$\frac{1}{2}$
"???? $\vec{a} = (m, 4), \vec{b} = (3, -2)$,? $\vec{a} // \vec{b}$,? $m =$ ________?",$-6$
"??? $\vec{a}, \vec{b}$ ???,?? $\lambda \vec{a} + \vec{b}$ ? $\vec{a} + 2\vec{b}$ ??,??? $\lambda =$ ________?",$\frac{1}{2}$
"???? $\vec{a}, \vec{b}$ ?? $|\vec{a}| = 1, |\vec{b}| = \sqrt{3}, |\vec{a} - 2\vec{b}| = 3$,? $\vec{a} \cdot \vec{b} =$( ) A. $-2$ B. $-1$ C. 1 D. 2",1
"???? $\vec{a} = (m, 3), \vec{b} = (1, m + 1)$?? $\vec{a} \perp \vec{b}$,? $m =$ ________?",$-\frac{3}{4}$ ? $-0.75$
"???? $\vec{a}, \vec{b}$ ?? $|\vec{a}| = 5, |\vec{b}| = 6, \vec{a} \cdot \vec{b} = -6$,? $\cos \langle \vec{a}, \vec{a} + \vec{b} \rangle =$( )
A. $-\frac{31}{35}$  B. $-\frac{19}{35}$  C. $\frac{17}{35}$  D. $\frac{19}{35}$",$\frac{19}{35}$
"??? $\vec{a} = (1, -1), \vec{b} = (m + 1, 2m - 4)$,? $\vec{a} \perp \vec{b}$,? $m =$ ________?",5
"?????? $\vec{a}, \vec{b}$ ???? $45^\circ, k\vec{a} - \vec{b}$ ? $\vec{a}$ ??,? $k =$ ________?",$\frac{\sqrt{2}}{2}$
"? $\vec{a}, \vec{b}$ ?????,? $|\vec{a} + \vec{b}| = 1$,? $|\vec{a} - \vec{b}| =$ ________?",$\sqrt{3}$
"?? $P$ ???? 2 ????? $ABCDEF$ ????,? $\vec{AP} \cdot \vec{AB}$ ??????( ) A. $(-2, 6)$ B. $(-6, 2)$ C. $(-2, 4)$ D. $(-4, 6)$","$(-2, 6)$"
"???? $\vec{a} = (2, 2), \vec{b} = (-8, 6)$,? $\cos \langle \vec{a}, \vec{b} \rangle =$ ________?",$-\frac{\sqrt{2}}{10}$
"???? $\vec{a}, \vec{b}$ ?? $|\vec{a}| = 1, \vec{a} \cdot \vec{b} = -1$,? $\vec{a} \cdot (2\vec{a} - \vec{b}) =$( ) A. 4 B. 3 C. 2 D. 0",3
"? $\vec{m}, \vec{n}$ ?????,?�???? $\lambda$,?? $\vec{m} = \lambda \vec{n}$�?�$\vec{m} \cdot \vec{n} < 0$�?( ) A. ???????? B. ???????? C. ?????? D. ??????????",A
"???? $\vec{BA} = (\frac{1}{2}, \frac{\sqrt{3}}{2}), \vec{BC} = (\frac{\sqrt{3}}{2}, \frac{1}{2})$,? $\angle ABC =$( )
A. $30^\circ$  B. $45^\circ$  C. $60^\circ$  D. $120^\circ$",$30^\circ$
"?? $A, B, C$ ?? $O$ ????,? $\vec{AO} = \frac{1}{2}(\vec{AB} + \vec{AC})$,? $\vec{AB}$ ? $\vec{AC}$ ???? ________?",$90^\circ$
"???????? $\vec{a}, \vec{b}$ ???? $60^\circ, \vec{c} = t\vec{a} + (1-t)\vec{b}$,? $\vec{b} \cdot \vec{c} = 0$,? $t =$ ________?",2
????? $ABC$ ???? 2,$E$ ? $CD$ ???,? $\vec{AE} \cdot \vec{BD} =$ ________?,2
"???? $\vec{a} + \vec{b} + \vec{c} = \vec{0}, |\vec{a}| = 1, |\vec{b}| = |\vec{c}| = 2$,? $\vec{a} \cdot \vec{b} + \vec{b} \cdot \vec{c} + \vec{c} \cdot \vec{a} =$ ________?",$-\frac{9}{2}$
"?????? $\vec{a}, \vec{b}$ ???? $60^\circ$,???????,? $\vec{b}$ ????( ) A. $\vec{a} + 2\vec{b}$ B. $2\vec{a} + \vec{b}$ C. $\vec{a} - 2\vec{b}$ D. $2\vec{a} - \vec{b}$",D
"?? $\vec{a}, \vec{b}$ ?????,? $\vec{a} \cdot \vec{b} = 0$,? $\vec{c} = 2\vec{a} - \sqrt{5}\vec{b}$,? $\cos \langle \vec{a}, \vec{c} \rangle =$ ________?",$\frac{2}{3}$
